"model_type","ppi_type","design","n","delta","emp_power","mc_se"
"glm_correct","PPI","PPI_noncrossfit",100,0.55,0.976,0.00684455988358638
"glm_correct","PPI","PPI_noncrossfit",100,0.6,0.992,0.0039839678713564
"glm_correct","PPI","PPI_noncrossfit",100,0.6,0.992,0.0039839678713564
"glm_correct","PPI","PPI_noncrossfit",100,0.6,0.992,0.0039839678713564
"glm_correct","PPI","PPI_noncrossfit",150,0,0.048,0.00955991631762538
"glm_correct","PPI","PPI_noncrossfit",150,0,0.048,0.00955991631762538
"glm_correct","PPI","PPI_noncrossfit",150,0,0.048,0.00955991631762538
"glm_correct","PPI","PPI_noncrossfit",150,0.05,0.052,0.00992935043192655
"glm_correct","PPI","PPI_noncrossfit",150,0.05,0.052,0.00992935043192655
"glm_correct","PPI","PPI_noncrossfit",150,0.05,0.052,0.00992935043192655
"glm_correct","PPI","PPI_noncrossfit",150,0.1,0.13,0.0150399468084166
"glm_correct","PPI","PPI_noncrossfit",150,0.1,0.13,0.0150399468084166
"glm_correct","PPI","PPI_noncrossfit",150,0.1,0.13,0.0150399468084166
"glm_correct","PPI","PPI_noncrossfit",150,0.15,0.22,0.0185256578830551
"glm_correct","PPI","PPI_noncrossfit",150,0.15,0.22,0.0185256578830551
"glm_correct","PPI","PPI_noncrossfit",150,0.15,0.22,0.0185256578830551
"glm_correct","PPI","PPI_noncrossfit",150,0.2,0.36,0.021466252583998
"glm_correct","PPI","PPI_noncrossfit",150,0.2,0.36,0.021466252583998
"glm_correct","PPI","PPI_noncrossfit",150,0.2,0.36,0.021466252583998
"glm_correct","PPI","PPI_noncrossfit",150,0.25,0.504,0.0223599642217961
"glm_correct","PPI","PPI_noncrossfit",150,0.25,0.504,0.0223599642217961
"glm_correct","PPI","PPI_noncrossfit",150,0.25,0.504,0.0223599642217961
"glm_correct","PPI","PPI_noncrossfit",150,0.3,0.664,0.0211236360506424
"glm_correct","PPI","PPI_noncrossfit",150,0.3,0.664,0.0211236360506424
"glm_correct","PPI","PPI_noncrossfit",150,0.3,0.664,0.0211236360506424
"glm_correct","PPI","PPI_noncrossfit",150,0.35,0.802,0.0178211110764733
"glm_correct","PPI","PPI_noncrossfit",150,0.35,0.802,0.0178211110764733
"glm_correct","PPI","PPI_noncrossfit",150,0.35,0.802,0.0178211110764733
"glm_correct","PPI","PPI_noncrossfit",150,0.4,0.896,0.013651666564929
"glm_correct","PPI","PPI_noncrossfit",150,0.4,0.896,0.013651666564929
"glm_correct","PPI","PPI_noncrossfit",150,0.4,0.896,0.013651666564929
"glm_correct","PPI","PPI_noncrossfit",150,0.45,0.958,0.00897061870775924
"glm_correct","PPI","PPI_noncrossfit",150,0.45,0.958,0.00897061870775924
"glm_correct","PPI","PPI_noncrossfit",150,0.45,0.958,0.00897061870775924
"glm_correct","PPI","PPI_noncrossfit",150,0.5,0.984,0.00561141693336006
"glm_correct","PPI","PPI_noncrossfit",150,0.5,0.984,0.00561141693336006
"glm_correct","PPI","PPI_noncrossfit",150,0.5,0.984,0.00561141693336006
"glm_correct","PPI","PPI_noncrossfit",150,0.55,0.994,0.00345369367489359
"glm_correct","PPI","PPI_noncrossfit",150,0.55,0.994,0.00345369367489359
"glm_correct","PPI","PPI_noncrossfit",150,0.55,0.994,0.00345369367489359
"glm_correct","PPI","PPI_noncrossfit",150,0.6,1,0
"glm_correct","PPI","PPI_noncrossfit",150,0.6,1,0
"glm_correct","PPI","PPI_noncrossfit",150,0.6,1,0
"glm_correct","PPI","PPI_noncrossfit",200,0,0.048,0.00955991631762538
"glm_correct","PPI","PPI_noncrossfit",200,0,0.048,0.00955991631762538
"glm_correct","PPI","PPI_noncrossfit",200,0,0.048,0.00955991631762538
"glm_correct","PPI","PPI_noncrossfit",200,0.05,0.07,0.0114105214604767
"glm_correct","PPI","PPI_noncrossfit",200,0.05,0.07,0.0114105214604767
"glm_correct","PPI","PPI_noncrossfit",200,0.05,0.07,0.0114105214604767
"glm_correct","PPI","PPI_noncrossfit",200,0.1,0.14,0.0155177317930167
"glm_correct","PPI","PPI_noncrossfit",200,0.1,0.14,0.0155177317930167
"glm_correct","PPI","PPI_noncrossfit",200,0.1,0.14,0.0155177317930167
"glm_correct","PPI","PPI_noncrossfit",200,0.15,0.24,0.0190997382181013
"glm_correct","PPI","PPI_noncrossfit",200,0.15,0.24,0.0190997382181013
"glm_correct","PPI","PPI_noncrossfit",200,0.15,0.24,0.0190997382181013
"glm_correct","PPI","PPI_noncrossfit",200,0.2,0.392,0.0218328193323721
"glm_correct","PPI","PPI_noncrossfit",200,0.2,0.392,0.0218328193323721
"glm_correct","PPI","PPI_noncrossfit",200,0.2,0.392,0.0218328193323721
"glm_correct","PPI","PPI_noncrossfit",200,0.25,0.564,0.0221767445762447
"glm_correct","PPI","PPI_noncrossfit",200,0.25,0.564,0.0221767445762447
"glm_correct","PPI","PPI_noncrossfit",200,0.25,0.564,0.0221767445762447
"glm_correct","PPI","PPI_noncrossfit",200,0.3,0.726,0.0199461274436919
"glm_correct","PPI","PPI_noncrossfit",200,0.3,0.726,0.0199461274436919
"glm_correct","PPI","PPI_noncrossfit",200,0.3,0.726,0.0199461274436919
"glm_correct","PPI","PPI_noncrossfit",200,0.35,0.86,0.0155177317930167
"glm_correct","PPI","PPI_noncrossfit",200,0.35,0.86,0.0155177317930167
"glm_correct","PPI","PPI_noncrossfit",200,0.35,0.86,0.0155177317930167
"glm_correct","PPI","PPI_noncrossfit",200,0.4,0.936,0.0109456840809517
"glm_correct","PPI","PPI_noncrossfit",200,0.4,0.936,0.0109456840809517
"glm_correct","PPI","PPI_noncrossfit",200,0.4,0.936,0.0109456840809517
"glm_correct","PPI","PPI_noncrossfit",200,0.45,0.976,0.00684455988358638
"glm_correct","PPI","PPI_noncrossfit",200,0.45,0.976,0.00684455988358638
"glm_correct","PPI","PPI_noncrossfit",200,0.45,0.976,0.00684455988358638
"glm_correct","PPI","PPI_noncrossfit",200,0.5,0.992,0.0039839678713564
"glm_correct","PPI","PPI_noncrossfit",200,0.5,0.992,0.0039839678713564
"glm_correct","PPI","PPI_noncrossfit",200,0.5,0.992,0.0039839678713564
"glm_correct","PPI","PPI_noncrossfit",200,0.55,0.994,0.00345369367489359
"glm_correct","PPI","PPI_noncrossfit",200,0.55,0.994,0.00345369367489359
"glm_correct","PPI","PPI_noncrossfit",200,0.55,0.994,0.00345369367489359
"glm_correct","PPI","PPI_noncrossfit",200,0.6,0.998,0.00199799899899875
"glm_correct","PPI","PPI_noncrossfit",200,0.6,0.998,0.00199799899899875
"glm_correct","PPI","PPI_noncrossfit",200,0.6,0.998,0.00199799899899875
"glm_correct","PPI","PPI_noncrossfit",300,0,0.054,0.0101078187557949
"glm_correct","PPI","PPI_noncrossfit",300,0,0.054,0.0101078187557949
