model_type,ppi_type,n,delta,lambda_mode,PPI_crossfit,PPIpp_crossfit,PPIpp_independent_split,avg_lambda_hat,sd_lambda_hat,lambda_oracle,var_fhat,var_res,cor_Y_fhat,ratio_cov_over_var,N,design
glm_correct,PPI,200,0.5,plugin,TRUE,FALSE,FALSE,1,0,0.9060163469090142,16.984630587744977,1.0532612561360828,0.9666596494498496,0.9966179815999157,2000,PPI_crossfit
glm_correct,PPI,200,0.5,plugin,TRUE,FALSE,TRUE,1,0,0.9060163469090142,16.984630587744977,1.0532612561360828,0.9666596494498496,0.9966179815999157,2000,PPI_crossfit
glm_correct,PPI,200,0.5,plugin,TRUE,TRUE,FALSE,1,0,0.9060163469090142,16.984630587744977,1.0532612561360828,0.9666596494498496,0.9966179815999157,2000,PPI_crossfit
glm_correct,PPI,300,0.5,plugin,FALSE,FALSE,FALSE,1,0,0.8676188066462989,17.075041451500223,1.0223479041589634,0.9685799641022974,0.9977616276432436,2000,PPI_noncrossfit
glm_correct,PPI,300,0.5,plugin,FALSE,FALSE,TRUE,1,0,0.8676188066462989,17.075041451500223,1.0223479041589634,0.9685799641022974,0.9977616276432436,2000,PPI_noncrossfit
glm_correct,PPI,300,0.5,plugin,FALSE,TRUE,FALSE,1,0,0.8676188066462989,17.075041451500223,1.0223479041589634,0.9685799641022974,0.9977616276432436,2000,PPI_noncrossfit
glm_correct,PPI,300,0.5,plugin,TRUE,FALSE,FALSE,1,0,0.8672933108206086,17.032780574279585,1.039183003911575,0.9677857598002145,0.9973873074436997,2000,PPI_crossfit
glm_correct,PPI,300,0.5,plugin,TRUE,FALSE,TRUE,1,0,0.8672933108206086,17.032780574279585,1.039183003911575,0.9677857598002145,0.9973873074436997,2000,PPI_crossfit
glm_correct,PPI,300,0.5,plugin,TRUE,TRUE,FALSE,1,0,0.8672933108206086,17.032780574279585,1.039183003911575,0.9677857598002145,0.9973873074436997,2000,PPI_crossfit
glm_correct,PPI++,50,0.5,plugin,FALSE,FALSE,FALSE,0.726162361704627,0.2706462923097799,0.9886951639681655,16.984770458208136,1.9785143715317277,0.9600541545725166,1.0134125430673695,2000,PPI++_noncrossfit
glm_correct,PPI++,50,0.5,plugin,FALSE,FALSE,TRUE,0.6839734902216453,0.275929182753045,0.9874939675496025,17.43043668003169,2.3250751624375763,0.9490148197120085,1.0121813167383424,2000,PPI++_independent_split
glm_correct,PPI++,50,0.5,plugin,FALSE,TRUE,FALSE,0.6965215954080625,0.2613171722842752,0.9851561574257589,17.368486294025903,2.4402369750888484,0.9453169012438382,1.0097850613614028,2000,PPI++_crossfit
glm_correct,PPI++,50,0.5,plugin,TRUE,FALSE,FALSE,0.726162361704627,0.2706462923097799,0.9886951639681655,16.984770458208136,1.9785143715317277,0.9600541545725166,1.0134125430673695,2000,PPI++_noncrossfit
glm_correct,PPI++,50,0.5,plugin,TRUE,FALSE,TRUE,0.6839734902216453,0.275929182753045,0.9874939675496025,17.43043668003169,2.3250751624375763,0.9490148197120085,1.0121813167383424,2000,PPI++_independent_split
glm_correct,PPI++,50,0.5,plugin,TRUE,TRUE,FALSE,0.6965215954080625,0.2613171722842752,0.9851561574257589,17.368486294025903,2.4402369750888484,0.9453169012438382,1.0097850613614028,2000,PPI++_crossfit
glm_correct,PPI++,100,0.5,plugin,FALSE,FALSE,FALSE,0.7806060906555916,0.22357513879766347,0.9671187463548981,17.057086100131947,1.8300883384915545,0.9659520331594825,1.0154746836726432,2000,PPI++_noncrossfit
glm_correct,PPI++,100,0.5,plugin,FALSE,FALSE,TRUE,0.7854537300317059,0.22163306892306595,0.968052863659294,17.08719441173925,1.8829279261718297,0.9649700402818863,1.0164555068422587,2000,PPI++_independent_split
glm_correct,PPI++,100,0.5,plugin,FALSE,TRUE,FALSE,0.7861659816874043,0.2265477264292535,0.9660527086927642,17.012824821430815,1.9396825015174033,0.9615069902323784,1.0143553441274025,2000,PPI++_crossfit
glm_correct,PPI++,100,0.5,plugin,TRUE,FALSE,FALSE,0.7806060906555916,0.22357513879766347,0.9671187463548981,17.057086100131947,1.8300883384915545,0.9659520331594825,1.0154746836726432,2000,PPI++_noncrossfit
